[2020/05/07 17:06:47][CONFIG][initService]  Starting service...
[2020/05/07 17:06:47][CONFIG][currentConfigs]  Scheme: http://
[2020/05/07 17:06:47][CONFIG][currentConfigs]  Hostname: 0.0.0.0
[2020/05/07 17:06:47][CONFIG][currentConfigs]  Port: 12346
[2020/05/07 17:06:47][CONFIG][currentConfigs]  Path: /api
[2020/05/07 17:06:47][CONFIG][currentConfigs]  Logger output directory: ./logs/
[2020/05/07 17:06:47][CONFIG][currentConfigs]  dbUserName: root
[2020/05/07 17:06:47][CONFIG][currentConfigs]  dbPassword: Platinum08!Boy!
[2020/05/07 17:06:47][CONFIG][currentConfigs]  dbHostName: 127.0.0.1
[2020/05/07 17:06:47][CONFIG][currentConfigs]  dbPort: 3306
[2020/05/07 17:06:47][CONFIG][currentConfigs]  dbName: myIdm
[2020/05/07 17:06:47][CONFIG][currentConfigs]  session timeout: 1800000
[2020/05/07 17:06:47][CONFIG][currentConfigs]  session expiration: 3600000
[2020/05/07 17:06:47][CONFIG][connectToDatabase]  Connecting to database...
[2020/05/07 17:06:48][CONFIG][connectToDatabase]  Database URL: jdbc:mysql://127.0.0.1:3306/myIdm?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2020/05/07 17:06:49][CONFIG][connectToDatabase]  Connected to database: jdbc:mysql://127.0.0.1:3306/myIdm?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2020/05/07 17:06:49][CONFIG][initHTTPServer]  Initializing HTTP server...
[2020/05/07 17:06:49][CONFIG][initHTTPServer]  Building URI from configs...
[2020/05/07 17:06:49][CONFIG][initHTTPServer]  Final URI: http://0.0.0.0:12346/api
[2020/05/07 17:06:49][CONFIG][initHTTPServer]  Set Jersey resources.
[2020/05/07 17:06:49][CONFIG][initHTTPServer]  Set Jackson as serializer.
[2020/05/07 17:06:49][CONFIG][initHTTPServer]  Set session timeout and token expiration.
[2020/05/07 17:06:49][CONFIG][initHTTPServer]  Starting HTTP server...
[2020/05/07 17:06:50][CONFIG][initHTTPServer]  HTTP server started.
[2020/05/07 17:06:50][CONFIG][initService]  Service initialized.
[2020/05/07 17:07:05][INFO][login]  Entering Login Endpoint
[2020/05/07 17:07:05][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:07:05][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","password":["S","t","u","d","e","n","t","0","8"]}
[2020/05/07 17:07:05][INFO][printPassword]   S
[2020/05/07 17:07:05][INFO][printPassword]   t
[2020/05/07 17:07:05][INFO][printPassword]   u
[2020/05/07 17:07:05][INFO][printPassword]   d
[2020/05/07 17:07:05][INFO][printPassword]   e
[2020/05/07 17:07:05][INFO][printPassword]   n
[2020/05/07 17:07:05][INFO][printPassword]   t
[2020/05/07 17:07:05][INFO][printPassword]   0
[2020/05/07 17:07:05][INFO][printPassword]   8
[2020/05/07 17:07:05][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:07:05][INFO][login]  Exiting Login Endpoint Normally
[2020/05/07 17:07:05][INFO][LoginHandler]  Inside LoginHandler
